,Amman-East,Aqaba1,Aqaba2,IPP3,IPP4,Qatranah,Rehab,RehabCC,Risha,Samra1,Samra2,Samra3,Samra4,Zarqa-ACWA,hydro,pv,wind,phs
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,481.00827,40.0,0.0,180.0,400.0
1,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,180.0,0.0
2,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,135.0,0.0
3,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,75.0,0.0
4,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,30.0,0.0
5,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,15.0,32.111149
6,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,15.0,5.8868685
7,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,0.0,47.111149
8,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,260.0,0.0,0.0
9,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,40.0,680.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,40.0,1020.0,15.0,13.456832
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,40.0,1160.0,15.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,40.0,1200.0,15.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,40.0,1020.0,15.0,65.905393
14,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,40.0,740.0,15.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,210.0,485.0,40.0,520.0,0.0,3.3539544
16,424.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,0.0,20.475357
17,424.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,0.0,99.148199
18,424.0,0.0,0.0,0.0,0.0,410.47536,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,30.0,0.0
19,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,180.0,155.57823
20,406.85557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,360.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,210.0,453.35395,40.0,0.0,555.0,0.0
22,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,40.0,0.0,705.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,485.0,40.0,0.0,765.0,0.0
